respondent_id,Возраст,Как вы оцениваете качество сервиса от 0 до 5?,Как часто вы пользуетесь продуктом?,Регион,Что вам нравится в продукте?,Что следует улучшить?
31,39,1,Несколько раз в неделю,Санкт-Петербург,Функционал,Скорость работы
32,30,2,Редко,Екатеринбург,Поддержка 24/7,Отсутствие поддержки
33,30,5,Раз в месяц,Нижний Новгород,Поддержка 24/7,Отсутствие поддержки
34,25,1,Ежедневно,Екатеринбург,Удобный интерфейс,Скорость работы
35,40,4,Редко,Санкт-Петербург,Стабильная работа,Скорость работы
36,35,2,Раз в месяц,Екатеринбург,Удобный интерфейс,Нет комментариев
37,53,3,Ежедневно,Нижний Новгород,Функционал,Отсутствие мобильного приложения
38,40,2,Раз в месяц,Москва,Поддержка 24/7,Отсутствие мобильного приложения
39,51,5,Несколько раз в неделю,Москва,Функционал,Отсутствие мобильного приложения
40,27,4,Ежедневно,Санкт-Петербург,Функционал,Сложный интерфейс
41,54,2,Раз в месяц,Екатеринбург,Поддержка 24/7,Нет комментариев
42,37,4,Редко,Казань,Доступная цена,Отсутствие поддержки
43,31,3,Ежедневно,Санкт-Петербург,Доступная цена,Нет комментариев
44,42,4,Раз в месяц,Санкт-Петербург,Функционал,Скорость работы
45,35,4,Редко,Санкт-Петербург,Функционал,Отсутствие поддержки
46,31,5,Раз в неделю,Казань,Удобный интерфейс,Скорость работы
47,48,1,Редко,Москва,Стабильная работа,Отсутствие поддержки
48,42,3,Ежедневно,Казань,Доступная цена,Скорость работы
49,42,3,Раз в месяц,Москва,Удобный интерфейс,Отсутствие поддержки
50,39,3,Раз в неделю,Новосибирск,Поддержка 24/7,Отсутствие поддержки
51,45,1,Редко,Нижний Новгород,Функционал,Отсутствие мобильного приложения
52,46,3,Раз в неделю,Москва,Поддержка 24/7,Скорость работы
53,26,1,Несколько раз в неделю,Санкт-Петербург,Доступная цена,Отсутствие мобильного приложения
54,45,2,Раз в неделю,Санкт-Петербург,Поддержка 24/7,Отсутствие мобильного приложения
55,21,4,Несколько раз в неделю,Санкт-Петербург,Поддержка 24/7,Скорость работы
56,24,3,Редко,Екатеринбург,Стабильная работа,Отсутствие поддержки
57,44,5,Раз в неделю,Нижний Новгород,Доступная цена,Отсутствие мобильного приложения
58,37,2,Раз в неделю,Екатеринбург,Стабильная работа,Отсутствие поддержки
59,30,4,Раз в месяц,Санкт-Петербург,Доступная цена,Нет комментариев
60,48,4,Раз в месяц,Новосибирск,Поддержка 24/7,Отсутствие поддержки
61,34,1,Раз в неделю,Санкт-Петербург,Доступная цена,Скорость работы
62,52,1,Несколько раз в неделю,Нижний Новгород,Доступная цена,Скорость работы
63,35,4,Ежедневно,Москва,Стабильная работа,Отсутствие мобильного приложения
64,50,2,Редко,Санкт-Петербург,Удобный интерфейс,Нет комментариев
65,25,3,Ежедневно,Москва,Удобный интерфейс,Сложный интерфейс
66,47,1,Несколько раз в неделю,Москва,Поддержка 24/7,Нет комментариев
67,51,2,Раз в месяц,Нижний Новгород,Стабильная работа,Сложный интерфейс
68,30,3,Несколько раз в неделю,Санкт-Петербург,Стабильная работа,Нет комментариев
69,45,2,Раз в месяц,Екатеринбург,Удобный интерфейс,Сложный интерфейс
70,36,3,Раз в месяц,Санкт-Петербург,Доступная цена,Скорость работы
71,44,5,Раз в неделю,Нижний Новгород,Поддержка 24/7,Сложный интерфейс
72,25,3,Раз в неделю,Нижний Новгород,Поддержка 24/7,Скорость работы
73,47,4,Раз в месяц,Казань,Доступная цена,Отсутствие мобильного приложения
74,47,3,Раз в месяц,Казань,Доступная цена,Отсутствие мобильного приложения
75,47,2,Несколько раз в неделю,Москва,Стабильная работа,Отсутствие поддержки
76,36,1,Ежедневно,Новосибирск,Поддержка 24/7,Отсутствие поддержки
77,39,2,Редко,Новосибирск,Доступная цена,Отсутствие мобильного приложения
78,48,2,Несколько раз в неделю,Казань,Стабильная работа,Отсутствие поддержки
79,48,4,Раз в месяц,Казань,Доступная цена,Скорость работы
80,24,2,Раз в неделю,Москва,Доступная цена,Скорость работы
81,34,1,Редко,Екатеринбург,Доступная цена,Сложный интерфейс
82,34,4,Раз в неделю,Нижний Новгород,Функционал,Сложный интерфейс
83,49,3,Раз в неделю,Новосибирск,Доступная цена,Отсутствие поддержки
84,48,5,Редко,Новосибирск,Удобный интерфейс,Сложный интерфейс
85,36,1,Несколько раз в неделю,Екатеринбург,Функционал,Скорость работы
86,29,2,Раз в неделю,Москва,Удобный интерфейс,Нет комментариев
87,46,2,Раз в неделю,Екатеринбург,Стабильная работа,Сложный интерфейс
88,55,1,Редко,Екатеринбург,Удобный интерфейс,Сложный интерфейс
89,50,4,Несколько раз в неделю,Москва,Стабильная работа,Отсутствие поддержки
90,54,1,Ежедневно,Нижний Новгород,Поддержка 24/7,Нет комментариев
91,24,1,Раз в неделю,Казань,Поддержка 24/7,Нет комментариев
92,55,2,Раз в месяц,Новосибирск,Поддержка 24/7,Скорость работы
93,29,3,Раз в неделю,Нижний Новгород,Удобный интерфейс,Нет комментариев
94,18,4,Раз в месяц,Москва,Стабильная работа,Скорость работы
95,32,4,Ежедневно,Казань,Функционал,Скорость работы
96,37,3,Ежедневно,Нижний Новгород,Функционал,Нет комментариев
97,20,4,Редко,Санкт-Петербург,Удобный интерфейс,Сложный интерфейс
98,46,2,Редко,Новосибирск,Доступная цена,Отсутствие поддержки
99,27,1,Раз в месяц,Екатеринбург,Удобный интерфейс,Скорость работы
