dr_ndrugs,dr_kol,revenue,profit,abc_amount,abc_revenue,abc_profit,xyz
911-ШАМПУНЬ ЦИНКОВЫЙ Д/ВСЕХ ТИПОВ ВОЛОС 150МЛ.,2.0,503.0,164.26,B,B,B,
911-ЭКСТРЕННАЯ ПОМОЩЬ ГЕЛЬ-БАЛЬЗАМ Д/НОГ МОЧЕВИНА 100МЛ.,1.0,88.0,28.810000000000002,C,C,C,
911-ЭКСТРЕННАЯ ПОМОЩЬ ГЕЛЬ-БАЛЬЗАМ Д/НОГ ЭКСТРАКТ ПИЯВКИ 100МЛ.,1.0,136.0,43.739999999999995,C,C,C,
911-ЭКСТРЕННАЯ ПОМОЩЬ ШАМПУНЬ ДЕГТЯРНЫЙ П/ПЕРХОТИ 150МЛ.,1.0,117.0,38.56999999999999,C,C,C,
"AIR OPTIX PLUS HYDRAGLYDE ЛИНЗА КОНТАКТНАЯ -6,50 8.6 (3PK)",1.0,1182.0,43.34999999999991,C,B,C,
CRAZY BALLS АСКОРБИНОВАЯ К-ТА АПЕЛЬСИН+ЯБЛОКО+ЗЕМЛЯНИКА+ВАНИЛЬ №100 ДРАЖЕ /СЕСАНА/,4.0,131.92000000000002,33.68,B,C,C,
"DAILIES TOTAL 1 ЛИНЗА КОНТАКТНАЯ 8.5 -3,00 30PK",1.0,1992.11,65.47999999999979,C,A,C,
"DAILIES TOTAL 1 ЛИНЗА КОНТАКТНАЯ 8.5 -4,00 30PK",1.0,1995.45,56.48000000000002,C,A,C,
L-КАРНИТИН 560МГ. №60 КАПС.,1.0,563.0,24.879999999999995,C,B,C,
L-ТИРОКСИН 100МКГ. №100 ТАБ. /БЕРЛИН ХЕМИ/,24.0,3569.74,439.13,A,A,A,Z
L-ТИРОКСИН 100МКГ. №100 ТАБ. /ОЗОН/,3.0,405.0,68.72999999999999,B,C,C,
L-ТИРОКСИН 125МКГ. №100 ТАБ. /БЕРЛИН ХЕМИ/,3.0,519.0,57.879999999999995,B,B,C,
L-ТИРОКСИН 50МКГ. №50 ТАБ. /БЕРЛИН ХЕМИ/,45.0,4549.0,615.3,A,A,A,Z
L-ТИРОКСИН 50МКГ. №50 ТАБ. /ОЗОН/,4.0,424.0,62.31999999999999,B,C,C,
L-ТИРОКСИН 75МКГ. №100 ТАБ. /БЕРЛИН ХЕМИ/,17.0,2348.0,285.3,A,A,B,Z
NF МАРЛЯ МЕД. Н/СТЕР. 90СМХ500СМ. №1 /НЬЮФАРМ/,1.0,168.0,58.58,C,C,C,
ZD ТЕЙМУРОВА ДЕО-ГЕЛЬ П/ЗАПАХА ПОТА 100МЛ. /ЗЕЛЕНАЯ ДУБРАВА/,1.0,80.0,28.9,C,C,C,
ZD ТЕЙМУРОВА КРЕМ-ПУДРА ОТ ЗАПАХА И ПОТА 50Г. /ЗЕЛЕНАЯ ДУБРАВА/,1.0,101.0,37.18,C,C,C,
ZD ТЕЙМУРОВА МЫЛО-АНТИПЕРСП. П/ЗАПАХА ПОТА 150МЛ. [ЗЕЛЕНАЯ ДУБРАВА],1.0,142.0,13.159999999999997,C,C,,
ZD ТЕЙМУРОВА СПРЕЙ Д/НОГ П/ПОТА И ЗАПАХА 150МЛ. /ЗЕЛЕНАЯ ДУБРАВА/,9.0,882.0,310.42,A,B,A,Y
А-ЦЕРУМЕН ПЛЮС 2МЛ. №10 СР-ВО Д/ПРОМ. УШН.ПРОХОДА ФЛ./КАП.,1.0,737.0,33.22000000000003,C,B,C,
"АВАМИС 27,5МКГ/ДОЗА 120 ДОЗ НАЗАЛ.СПРЕЙ ФЛ.",12.0000003,12385.860308700001,2684.360069423,A,A,A,Z
АВЕЛОКС 400МГ. №5 ТАБ. П/П/О /БАЙЕР/,1.0,525.0,39.94999999999999,C,B,C,
АВЕН КСЕРАКАЛМ А.Д. БАЛЬЗАМ ЛИПИДО-ВОСПОЛН. 400МЛ. [AVENE],1.0,2415.0,108.7199999999998,C,A,B,
АВЕРСУС ТРОСТЬ МЕТАЛЛ.(АЛ.СПЛАВ) С УПС /АРТ.16(527)У/,1.0,378.0,26.69999999999999,C,C,C,
АВИАМАРИН 50МГ. №10 ТАБ. /АЛИУМ/,3.0,545.6,141.02,B,B,B,
"АВОДАРТ 0,5МГ. №90 КАПС.",2.333333,11821.901431999999,1465.2162743000004,B,A,A,
АД-НОРМА 300МГ. №60 КАПС.,1.0,519.0,127.60000000000002,C,B,B,
АДАПТОЛ 500МГ. №20 ТАБ. /ОЛАЙНФАРМ/,1.0,1601.0,352.97,C,B,A,
"АДВАНТАН 0,1% 15Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА",5.0,3497.0,667.77,B,A,A,
"АДВАНТАН 0,1% 15Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА",3.0,2115.0,367.25,B,A,A,
АДЕНУРИК 80МГ. №28 ТАБ. П/П/О,1.0,4486.0,652.3899999999999,C,A,A,
АДЖИСЕПТ АПЕЛЬСИН №24 ТАБ. Д/РАСС.,1.0,261.0,73.25,C,C,C,
АДЖИСЕПТ КЛАССИЧЕСКИЙ №24 ТАБ. Д/РАСС.,2.0,419.0,116.25000000000001,B,C,B,
АДЖИСЕПТ ЛИМОН Д/ДЕТ. №12 ТАБ. Д/РАСС.,5.0,540.0,136.29999999999998,B,B,B,Z
АДЖИСЕПТ ЛИМОН №24 ТАБ. Д/РАСС.,7.0,1649.01,379.59,A,A,A,Z
АДЖИСЕПТ МЕД+ЛИМОН №24 ТАБ. Д/РАСС.,18.0,4170.0,1045.67,A,A,A,
АДЖИСЕПТ МЕНТОЛ+ЭВКАЛИПТ №24 ТАБ. Д/РАСС.,14.0,3230.0,852.3,A,A,A,Z
АДИАРИН ПРОБИО 8Г. КАПЛИ Д/ПРИЕМА ВНУТРЬ ФЛ.,1.0,646.0,29.08000000000004,C,B,C,
"АДИАРИН РЕГИДРОКОМПЛЕКС 4,3Г. №10 ПОР. САШЕ",5.0,2287.0,683.24,B,A,A,Z
АДОНИС-БРОМ №20 ТАБ. П/О /ВИФИТЕХ/,1.0,240.0,10.870000000000005,C,C,,
АДРЕНАЛИН 1МГ/МЛ. 1МЛ. №5 Р-Р Д/ИН. АМП. /МЭЗ/МОСКОВСКИЙ ЭНД.ЗАВОД/,2.0,187.2,23.959999999999994,B,C,C,
АЕ ВИТАМИНЫ ФОРТЕ 350МГ. №10 КАПС. /ФАРМГРУПП/,2.0,116.0,5.239999999999995,B,C,,
АЕВИТ 100МГ. №30 КАПС. /МИНСКИНТЕРКАПС/,4.0,391.0,119.07,B,C,B,
АЕВИТ 200МГ. №10 КАПС. /МЕЛИГЕН/,7.0,160.72,7.239999999999998,A,C,,
АЕВИТ 200МГ. №20 КАПС. /МАРБИОФАРМ/,24.0,1481.02,491.90999999999997,A,B,A,Z
АЕВИТ 200МГ. №20 КАПС. /МЕЛИГЕН/,7.0,369.0,124.66,A,C,B,
АЕВИТ 200МГ. №30 КАПС. (БАД) /ЛЮМИ/,2.0,206.0,59.25999999999999,B,C,C,
АЕВИТ 200МГ. №30 КАПС. /АЛТАЙВИТАМИНЫ/,5.0,764.0,94.90000000000003,B,B,C,Z
АЕВИТ 200МГ. №30 КАПС. /МЕЛИГЕН/,16.0,1408.0,380.46999999999997,A,B,A,Z
АЕВИТ КАПС. №30*,9.0,781.5600000000001,242.55,A,B,B,
АЗАРГА 10МГ/МЛ.+5МГ/МЛ. 5МЛ. №1 ГЛ.КАПЛИ ФЛ./КАП.,20.0,24303.0,3642.3599999999997,A,A,A,Z
АЗАФЕН 25МГ. №50 ТАБ. /НИЖФАРМ/,1.0,208.0,12.719999999999999,C,C,,
АЗЕЛИК 15% 15Г. №1 ГЕЛЬ Д/НАРУЖ.ПРИМ. ТУБА /АКРИХИН/,6.0,3687.0,715.49,A,A,A,Z
АЗЕЛИК 15% 30Г. №1 ГЕЛЬ Д/НАРУЖ.ПРИМ. ТУБА /АКРИХИН/,3.0,2849.0,642.21,B,A,A,
"АЗИТРОКС 200МГ/5МЛ. 15,9Г. ПОР. Д/СУСП. (АЗИТРОМИЦИН) /ФАРМСТАНДАРТ/",3.0,676.37,97.49999999999997,B,B,B,
АЗИТРОКС 500МГ. №3 КАПС. (АЗИТРОМИЦИН) /ФАРМСТАНДАРТ/,2.0,708.0,131.36,B,B,B,
АЗИТРОМИЦИН 250МГ. №6 КАПС. /ВЕРТЕКС/,1.0,191.0,16.099999999999994,C,C,C,
АЗИТРОМИЦИН 250МГ. №6 КАПС. /ПРОИЗВОДСТВО МЕДИКАМЕНТОВ/,2.0,2.0,-121.08,B,,,
АЗИТРОМИЦИН 500МГ. №3 КАПС. /ВЕРТЕКС/,4.0,960.0,130.67999999999995,B,B,B,
АЗИТРОМИЦИН 500МГ. №3 КАПС. /ПРОИЗВОДСТВО МЕДИКАМЕНТОВ/ ПроМед/,20.0,1637.74,337.08,A,A,A,Z
АЗИТРОМИЦИН 500МГ. №3 ТАБ. П/О /РАФАРМА/,5.0,1203.0,221.83000000000004,B,B,B,
АЗИТРОМИЦИН 500МГ. №3 ТАБ. П/П/О /АТОЛЛ/ОЗОН/,4.0,713.0,112.09999999999997,B,B,B,
АЗИТРОМИЦИН 500МГ. №3 ТАБ. П/П/О /ВЕРТЕКС/,19.0,4400.31,563.5499999999998,A,A,A,Z
АЗИТРОМИЦИН 500МГ. №3 ТАБ. П/П/О /РЕПЛЕКФАРМ/БЕРЕЗОВСКИЙ/,1.0,95.0,16.450000000000003,C,C,C,
АЗИТРОМИЦИН 500МГ. №3 ТАБ. П/П/О /ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА/,3.0,588.0,113.25,B,B,B,
АЗИТРОМИЦИН АВЕКСИМА 500МГ. №3 ТАБ. П/П/О /ИРБИТСКИЙ/,6.0,890.52,280.62,A,B,B,
АЗИТРОМИЦИН САНОФИ 250МГ. №6 ТАБ. П/О /ЗЕНТИВА/,1.0,298.0,48.639999999999986,C,C,C,
АЗИТРОМИЦИН САНОФИ 500МГ. №3 ТАБ. П/О /ЗЕНТИВА/,2.0,552.0,43.339999999999975,B,B,C,
АЗИТРОМИЦИН ФОРТЕ-OBL 500МГ. №3 ТАБ. П/О /ОБОЛЕНСКОЕ/,18.0,3543.7,669.5600000000001,A,A,A,
"АЗИТРОМИЦИН ЭКОМЕД 100МГ/5МЛ. 16,5Г. №1 ПОР. Д/СУСП. ФЛ. ШПРИЦ ДОЗИР. /АВВА РУС/",1.0,148.0,26.060000000000002,C,C,C,
АЗИТРОМИЦИН ЭКОМЕД 250МГ. №6 ТАБ. П/П/О /АВВА РУС/,1.0,178.0,26.669999999999987,C,C,C,
АЗИТРОМИЦИН ЭКОМЕД 500МГ. №3 ТАБ. П/П/О /АВВА РУС/,5.0,907.26,178.16,B,B,B,Z
АЗОПТ 1% 5МЛ. №1 ГЛ.КАПЛИ ФЛ./КАП.,3.0,3516.0,842.6899999999999,B,A,A,
АЗРИ ПРЕЗЕРВАТИВ Д/УЗИ №1,6.0,80.0,32.06,A,C,C,
АЗУРИКС 80МГ. №30 ТАБ. П/П/О /ОБОЛЕНСКОЕ/,1.0,2150.0,96.84999999999991,C,A,B,
АИРА КОРНЕВИЩА 75Г. КОРНЕВ.ИЗМЕЛЬЧ. /КРАСНОГОРСК/,1.0,113.0,35.16,C,C,C,
АЙДИ ПРОТЕКТ ПЕЛЕНКИ ОДНОР. ВПИТ. 60Х60 №10 [ID],1.0,265.0,75.78,C,C,C,
АКАТИНОЛ МЕМАНТИН 10МГ. №30 ТАБ. П/П/О /МЕРЦ ФАРМА/,2.0,3445.0,277.4000000000001,B,A,B,
АКАТИНОЛ МЕМАНТИН 10МГ. №90 ТАБ. П/П/О /МЕРЦ ФАРМА/,4.0,19658.0,1239.8199999999997,B,A,A,
АКАТИНОЛ МЕМАНТИН 20МГ. №56 ТАБ. П/П/О /МЕРЦ ФАРМА/,0.5,2958.0,333.84000000000015,C,A,A,
АКВА МАРИС 10МЛ. КАПЛИ Д/ДЕТЕЙ ФЛ./КАП.,17.0,2823.0,763.84,A,A,A,Z
АКВА МАРИС 30МЛ. НАЗАЛ.СПРЕЙ (ВОДА МОРСКАЯ) ФЛ.,21.0,6345.7,1546.3600000000001,A,A,A,Z
АКВА МАРИС БЕБИ ИНТЕНСИВ. ПРОМЫВАНИЕ 150МЛ. ФЛ.,1.0,552.0,189.44,C,B,B,
АКВА МАРИС ЛЕЙКА УСТРОЙСТВО НАЗАЛ. Д/ПРОМЫВАНИЯ НОСА 330МЛ. + МОРСКАЯ СОЛЬ №30 САШЕ,1.0,543.0,155.36,C,B,B,
АКВА МАРИС НОРМ ИНТЕНСИВ. ПРОМЫВАНИЕ 150МЛ. НАЗАЛ.СПРЕЙ,8.0,4678.09,1374.5100000000002,A,A,A,Z
АКВА МАРИС НОРМ ИНТЕНСИВ. ПРОМЫВАНИЕ 50МЛ. НАЗАЛ.СПРЕЙ,3.0,1166.0,331.84,B,B,A,
АКВА МАРИС ПЛЮС 30МЛ. НАЗАЛ.СПРЕЙ ФЛ.,11.0000001,3629.0000362,789.5400103960001,A,A,A,Z
АКВА МАРИС СТРОНГ 30МЛ. СПРЕЙ Д/МЕСТ. ПРИМ. (Д/ГОРЛА) ФЛ.,1.0,321.0,79.88999999999999,C,C,C,
АКВА МАРИС ЭКСТРАСИЛЬНЫЙ 150МЛ. НАЗАЛ.СПРЕЙ,2.0,919.0,225.63,B,B,B,
АКВА МАРИС ЭКТОИН 20МЛ. СПРЕЙ СЕНС 2+,4.0,2248.0,588.65,B,A,A,
АКВА ЭЙР МОРЕ 50МЛ. НАЗАЛ.СПРЕЙ ФЛ.,12.0,621.23,185.33999999999997,A,B,B,Z
"АКВА-РИНОСОЛЬ 0,9% 20МЛ. НАЗАЛ.СПРЕЙ ФЛ.",2.0,171.0,55.53,B,C,C,
АКВАДЕТРИМ 1000МЕ. №60 ТАБ.РАСТВ.,2.0,1746.0,417.49,B,A,A,
АКВАДЕТРИМ 15000МЕ/МЛ. 10МЛ. КАПЛИ Д/ПРИЕМА ВНУТРЬ ФЛ./КАП. (ВИТАМИН Д3 ВОДН.Р-Р) /МЕДАНА/,43.0,8125.13,1071.44,A,A,A,
АКВАДЕТРИМ 15000МЕ/МЛ. 15МЛ. КАПЛИ Д/ПРИЕМА ВНУТРЬ ФЛ./КАП. (ВИТАМИН Д3 ВОДН.Р-Р) /МЕДАНА/,38.0,11337.51,1789.58,A,A,A,
АКВАДЕТРИМ 2000МЕ. №60 ТАБ.РАСТВ.,2.0,2374.0,395.7199999999999,B,A,A,
АКВАДЕТРИМ 500МЕ. №60 ТАБ.РАСТВ.,1.0,396.0,17.819999999999993,C,C,C,
АКВАЛОР АКТИВ СОФТ 150МЛ. НАЗАЛ.СПРЕЙ,1.0,626.0,200.29000000000002,C,B,B,
АКВАЛОР АКТИВ ФОРТЕ 150МЛ. НАЗАЛ.СПРЕЙ,3.0,1831.0,541.75,B,A,A,
АКВАЛОР БЕБИ 150МЛ. МЯГКИЙ ДУШ СПРЕЙ С РОЖДЕНИЯ,8.0,3975.15,812.1499999999999,A,A,A,Z
АКВАЛОР БЕБИ 15МЛ. НАЗАЛ.КАПЛИ ФЛ.,8.0,1824.0,512.27,A,A,A,Z
АКВАЛОР ГОРЛО 150МЛ. АЛОЭ ВЕРА+РИМСК.РОМАШКА СПРЕЙ,1.0,646.0,199.17000000000002,C,B,B,
АКВАЛОР НОРМ 150МЛ. НАЗАЛ.СПРЕЙ,2.0,1279.0,438.32000000000005,B,B,A,
АКВАЛОР ПРОТЕКТ 30МЛ. СПРЕЙ,6.0,2083.0,590.17,A,A,A,Z
АКВАЛОР СОФТ 150МЛ. НАЗАЛ.СПРЕЙ,17.0,9372.25,2745.42,A,A,A,Z
АКВАЛОР СОФТ МИНИ 50МЛ. СПРЕЙ 6МЕС.+,7.0,2858.0,902.9699999999999,A,A,A,Z
АКВАЛОР ФОРТЕ 150МЛ. 1+ НАЗАЛ.ДУШ,9.0,4839.0,1367.2200000000003,A,A,A,Z
АКВАЛОР ФОРТЕ МИНИ 50МЛ. НАЗАЛ.ДУШ,6.0,2343.73,715.31,A,A,A,Z
АКВАЛОР ЭКСТРА ФОРТЕ 150МЛ. АЛОЭ+РОМАШКА НАЗАЛ.СПРЕЙ,6.0,3758.0,1016.15,A,A,A,Z
"АКВАМАСТЕР 0,65% 50МЛ. НАЗАЛ.СПРЕЙ /ЭВАЛАР/",2.0,617.0,152.58,B,B,B,
АКВАПИЛИНГ КРЕМ Д/НОГ П/ОГРУБ. И СУХ. КОЖИ 75МЛ.,5.0,1260.0,444.21000000000004,B,B,A,Z
АКВАПИЛИНГ КРЕМ Д/РУК П/ОГРУБ. И СУХ. КОЖИ 75МЛ.,4.0,872.0,285.35,B,B,B,
АКВАПИЛИНГ СР-ВО Д/СТОП СО СКРЕБКОМ 150МЛ.,1.0,294.0,91.63,C,C,C,
АККУ-ЧЕК ГЛЮКОМЕТР АКТИВ №1 [ACCU-CHEK],3.0,3750.0,1056.96,B,A,A,
АККУ-ЧЕК ГЛЮКОМЕТР ИНСТАНТ №1 [ACCU-CHEK],3.0,2270.0,517.8299999999999,B,A,A,
АККУ-ЧЕК ЛАНЦЕТЫ СОФТКЛИКС №25 [ACCU-CHEK SOFTCLIX ],2.0,382.0,133.1,B,C,B,
АККУ-ЧЕК ТЕСТ-ПОЛОСКИ АКТИВ №100 (50Х2) [ACCU-CHEK],4.0,8484.0,1202.1700000000003,B,A,A,
АККУ-ЧЕК ТЕСТ-ПОЛОСКИ АКТИВ №50 [ACCU-CHEK],5.0,6582.0,1078.7199999999998,B,A,A,Z
АККУ-ЧЕК ТЕСТ-ПОЛОСКИ ИНСТАНТ №50 [ACCU-CHEK],3.0,5533.0,1495.93,B,A,A,
АККУ-ЧЕК ТЕСТ-ПОЛОСКИ ПЕРФОРМА №100 (50Х2) [ACCU-CHEK],7.5,19946.0,2613.4750000000004,A,A,A,Z
АККУ-ЧЕК ТЕСТ-ПОЛОСКИ ПЕРФОРМА №50 [ACCU-CHEK],2.0,3384.0,570.1200000000001,B,A,A,
АКНЕКУТАН 16МГ. №30 КАПС.,1.0,2587.92,116.55000000000018,C,A,B,
АКНЕКУТАН 8МГ. №30 КАПС.,1.0,1442.08,64.99000000000001,C,B,C,
"АКРИДЕРМ 0,05% 15Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА /АКРИХИН/",2.0,221.0,35.73999999999999,B,C,C,
"АКРИДЕРМ 0,05% 30Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА /АКРИХИН/",37.0,5885.69,879.2100000000002,A,A,A,
"АКРИДЕРМ 0,05% 30Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /АКРИХИН/",35.0,4597.16,723.64,A,A,A,
"АКРИДЕРМ ГЕНТА 0,05%+0,1% 15Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /АКРИХИН/",1.0,352.0,95.25,C,C,C,
"АКРИДЕРМ ГЕНТА 0,05%+0,1% 30Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА /АКРИХИН/",1.0,491.0,94.54000000000002,C,B,C,
"АКРИДЕРМ ГЕНТА 0,05%+0,1% 30Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /АКРИХИН/",3.0,1464.0,372.9,B,B,A,
"АКРИДЕРМ ГК 0,05%+0,1%+1% 15Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА /АКРИХИН/",8.0,5443.0,1079.8700000000001,A,A,A,Z
"АКРИДЕРМ ГК 0,05%+0,1%+1% 15Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /АКРИХИН/",3.0,2105.0,445.18000000000006,B,A,A,
"АКРИДЕРМ ГК 0,05%+0,1%+1% 30Г. №1 КРЕМ Д/НАРУЖ.ПРИМ. ТУБА /АКРИХИН/",6.0,5808.0,849.7299999999999,A,A,A,
"АКРИДЕРМ ГК 0,05%+0,1%+1% 30Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /АКРИХИН/",5.0,5481.0,1182.37,B,A,A,
"АКРИДЕРМ СК 0,05%+3% 30Г. №1 МАЗЬ Д/НАРУЖ.ПРИМ. ТУБА /АКРИХИН/",5.0,2632.0,543.94,B,A,A,
"АКРИОЛ ПРО 2,5%+2,5% 5Г. №1 КРЕМ Д/МЕСТ. И НАРУЖ.ПРИМ. ТУБА",6.0,1963.9,396.6,A,A,A,Z
АКСАМОН 20МГ. №50 ТАБ.,1.0,1167.0,155.21000000000004,C,B,B,
"АКТИВТЕКС САЛФЕТКИ АКФ (АМИНОКАПР.К-ТА,ФУРАГИН) КРОВОТЕЧ.ИЗ НОСА №1",5.0,232.8,52.40000000000002,B,C,C,
АКТИВТЕКС САЛФЕТКИ Д/ЛЕЧЕНИЯ ПРОЛЕЖНЕЙ НАБОР №8,1.0,255.0,85.30000000000001,C,C,C,
"АКТИВТЕКС САЛФЕТКИ ФЛ 10Х10 (ФУРАГИН, ЛИДОКАИН) №10",1.0,296.82,17.430000000000007,C,C,C,
"АКТИВТЕКС САЛФЕТКИ ФОМ 10Х10 (ФУРАГИН,ОБЛЕПИХА) №10 ТРОФ.ЯЗВЫ ЗАЖИВЛ. Б/РУБЦОВ",1.0,293.91,17.420000000000016,C,C,C,
"АКТИВТЕКС САЛФЕТКИ ХФ (ХЛОРГЕКСИДИН,ФУРАГИН) №2+ФЛ №3+ФОМ №3 Д/ДЕТ.",1.0,190.12,14.430000000000007,C,C,,
АКТИВТЕКС САЛФЕТКИ ХФЛ П/ОЖОГОВЫЕ 3Х5 №10,1.0,99.0,10.189999999999998,C,C,,
АКТОВЕГИН 200МГ. №50 ТАБ. П/О,6.0,11497.0,2010.3500000000004,A,A,A,
АКТОВЕГИН 40МГ/МЛ. 10МЛ. №5 Р-Р Д/ИН. АМП.,1.0,1628.7,410.0800000000001,C,B,A,
АКТОВЕГИН 40МГ/МЛ. 2МЛ. №25 Р-Р Д/ИН. АМП.,4.4,8132.1,1135.21,B,A,A,Z
